Name;price;URL;type
Area D Norma 14;5.0;https://www.todoconsolas.com/manga/42201-manga_area_d_norma_14_po109034-9788467925753.html;Manga
Aria Ivrea 03;4.5;https://www.todoconsolas.com/manga/26840-manga_aria_ivrea_03_po100272-9789875626690.html;Manga
Armamento Alquimista Planeta 01;2.0;https://www.todoconsolas.com/manga/4990-manga_armamento_alquimista_planeta_01_po29660-9788467496437.html;Manga
Arms Planeta 01;1.0;https://www.todoconsolas.com/manga/8868-manga_arms_planeta_01_po68240.html;Manga
Arms Planeta 02;1.0;https://www.todoconsolas.com/manga/8869-manga_arms_planeta_02_po68241.html;Manga
Arms Planeta 03;1.0;https://www.todoconsolas.com/manga/8870-manga_arms_planeta_03_po68242.html;Manga
Arms Planeta 04;1.0;https://www.todoconsolas.com/manga/8871-manga_arms_planeta_04_po68243.html;Manga
Arms Planeta 05;1.0;https://www.todoconsolas.com/manga/8872-manga_arms_planeta_05_po68244.html;Manga
Arte Arechi 02;4.5;https://www.todoconsolas.com/manga/141898-manga_arte_arechi_02_po182437-9788417957544.html;Manga
Ashita No Joe Joe del Mañana Arechi 01;11.95;https://www.todoconsolas.com/manga/157779-manga_ashita_no_joe_joe_del_manana_arechi_01_po197113-9788419296023.html;Manga
Assassination Classroom Carlsen 01;3.0;https://www.todoconsolas.com/manga/6537-manga_assassination_classroom_carlsen_01_po43333-9788490246368.html;Manga
Assassination Classroom Carlsen 02;4.0;https://www.todoconsolas.com/manga/15203-manga_assassination_classroom_carlsen_02_po43334-9788490249666.html;Manga
Assassins Creed Black Flag Awakening Panini 01;4.5;https://www.todoconsolas.com/manga/19073-manga_assassins_creed_black_flag_awakening_panini_01_po96355-9788490943144.html;Manga
Astral Project Planeta 01;3.5;https://www.todoconsolas.com/manga/44560-manga_astral_project_planeta_01_po28883-9788467465778.html;Manga
Astral Project Planeta 02;3.5;https://www.todoconsolas.com/manga/4874-manga_astral_project_planeta_02_po28884-9788467465785.html;Manga
Astroboy Glenat 05;5.0;https://www.todoconsolas.com/manga/5278-manga_astroboy_glenat_05_po31902-9788484494409.html;Manga
Astroboy Glenat 07;5.0;https://www.todoconsolas.com/manga/74892-manga_astroboy_glenat_07_po31904-9788484495079.html;Manga
Astroboy Glenat 08;5.0;https://www.todoconsolas.com/manga/5279-manga_astroboy_glenat_08_po31905-9788484496304.html;Manga
Ataque a los Titanes 1ED Norma 34;5.5;https://www.todoconsolas.com/manga/121230-manga_ataque_a_los_titanes_1ed_norma_34_po163366-9788467948158.html;Manga
Ataque a Los Titanes Antes de la Caida Norma 01;5.5;https://www.todoconsolas.com/manga/16292-manga_ataque_a_los_titanes_antes_de_la_caida_norma_01_po38958-9788467916119.html;Manga
Ataque a Los Titanes Antes de la Caida Norma 02;5.5;https://www.todoconsolas.com/manga/6160-manga_ataque_a_los_titanes_antes_de_la_caida_norma_02_po38959-9788467918397.html;Manga
Ataque a Los Titanes Antes de la Caida Norma 03;5.5;https://www.todoconsolas.com/manga/6161-manga_ataque_a_los_titanes_antes_de_la_caida_norma_03_po38960-9788467919684.html;Manga
Ataque a Los Titanes Antes de la Caida Norma 04;5.5;https://www.todoconsolas.com/manga/7934-manga_ataque_a_los_titanes_antes_de_la_caida_norma_04_po55982-9788467921694.html;Manga
Ataque a Los Titanes Antes de la Caida Norma 05;5.5;https://www.todoconsolas.com/manga/7935-manga_ataque_a_los_titanes_antes_de_la_caida_norma_05_po55983-9788467922479.html;Manga
Ataque a los Titanes Ed Especial Norma 34;5.0;https://www.todoconsolas.com/manga/136251-manga_ataque_a_los_titanes_ed_especial_norma_34_po177574-9788467948165.html;Manga
Ataque a los Titanes Ed. Integral Norma 01;14.95;https://www.todoconsolas.com/manga/135296-manga_ataque_a_los_titanes_ed__integral_norma_01_po176726-9788467964141.html;Manga
Ataque a los Titanes Ed. Integral Salvat 02;7.5;https://www.todoconsolas.com/manga/160476-manga_ataque_a_los_titanes_ed__integral_salvat_02_po199646.html;Manga
Ataque a los Titanes LostGirls Norma 01;5.0;https://www.todoconsolas.com/manga/25348-manga_ataque_a_los_titanes_lostgirls_norma_01_po72172-9788467927849.html;Manga
Ataque a los Titanes No Regrets Norma 01;4.0;https://www.todoconsolas.com/manga/7119-manga_ataque_a_los_titanes_no_regrets_norma_01_po48769-9788467917840.html;Manga
Ataque a los Titanes No Regrets Norma 02;4.0;https://www.todoconsolas.com/manga/7120-manga_ataque_a_los_titanes_no_regrets_norma_02_po48770-9788467918489.html;Manga
Ataque a los Titanes Norma 01;2.5;https://www.todoconsolas.com/manga/5129-manga_ataque_a_los_titanes_norma_01_po30841-9788467909708.html;Manga
Ataque a los Titanes Norma 02;3.0;https://www.todoconsolas.com/manga/5899-manga_ataque_a_los_titanes_norma_02_po36466-9788467909715.html;Manga
Ataque a los Titanes Norma 03;3.0;https://www.todoconsolas.com/manga/5900-manga_ataque_a_los_titanes_norma_03_po36467-9788467910995.html;Manga
